학생,수학,영어,과학,공부시간,수면시간,과제횟수
S01,70.7,67.0,79.9,4.3,7.4,8.5
S02,53.3,56.1,58.8,2.6,7.5,6.3
S03,86.8,67.5,83.7,5.6,6.5,9.6
S04,77.2,71.0,83.6,5.2,6.7,9.0
S05,47.5,57.2,57.1,1.4,6.6,5.2
S06,51.7,47.2,63.7,1.9,7.7,6.3
S07,74.3,63.9,64.8,4.1,6.2,8.1
S08,67.8,73.7,68.6,4.0,7.3,6.6
S09,70.1,82.3,68.0,2.8,7.0,8.6
S10,60.5,52.8,62.5,1.9,7.9,6.5
S11,79.3,75.8,89.6,4.4,7.8,8.0
S12,80.9,78.3,82.4,3.8,6.9,9.5
S13,68.1,77.4,68.2,3.7,6.5,8.4
S14,78.5,75.5,78.5,6.1,6.8,9.2
S15,67.1,71.9,71.8,4.5,5.4,9.2
S16,57.5,62.4,53.6,2.8,6.6,4.5
S17,78.1,74.2,68.7,5.2,4.9,10.3
S18,57.1,55.6,60.8,3.4,6.3,7.6
S19,80.9,77.0,87.2,5.3,6.1,9.5
S20,68.7,60.6,71.5,4.7,5.5,8.3
S21,72.2,64.8,58.7,3.8,7.4,4.7
S22,65.3,59.2,70.5,2.5,8.7,5.3
S23,82.3,82.6,83.5,5.5,6.0,10.1
S24,74.0,63.5,74.5,2.9,6.9,6.4
S25,64.7,65.6,72.2,2.8,4.9,8.0
S26,71.5,69.2,58.6,3.3,6.7,9.7
S27,75.2,74.6,71.8,5.3,7.3,7.7
S28,68.8,73.8,77.3,5.6,6.8,7.7
S29,71.2,72.8,71.5,3.8,7.3,9.1
S30,78.3,72.7,77.8,4.9,5.7,10.8
S31,103.5,88.0,96.4,6.6,5.9,10.8
S32,64.9,65.1,72.5,3.7,7.2,7.5
S33,61.1,61.9,62.5,3.2,6.7,9.2
S34,63.2,69.5,63.2,1.7,6.0,4.4
S35,73.1,82.6,83.2,5.5,7.3,7.7
S36,78.9,82.3,82.7,5.3,6.4,9.7
S37,71.7,62.9,72.6,3.5,7.6,7.1
S38,58.4,53.2,64.9,2.1,6.9,7.3
S39,63.3,64.9,64.7,2.4,9.0,6.6
S40,76.7,76.5,77.1,5.2,7.4,7.2
S41,78.2,78.6,75.7,5.0,5.5,10.1
S42,82.5,65.3,79.7,5.0,6.5,8.4
S43,62.8,65.3,70.5,3.2,8.0,8.2
S44,78.1,72.8,73.6,5.1,7.9,7.7
S45,64.9,63.7,75.1,4.0,8.3,7.5
S46,73.1,68.0,81.9,3.4,7.0,9.1
S47,80.0,78.9,81.8,5.9,8.6,10.7
S48,65.4,70.7,67.0,4.1,6.0,9.0
S49,73.4,74.0,77.8,5.7,6.4,7.3
S50,67.6,68.2,73.7,4.3,7.0,8.8
S51,76.4,69.9,73.8,4.4,6.4,7.3
S52,69.5,75.7,80.2,5.2,5.2,9.5
S53,53.9,59.3,63.2,3.0,7.7,3.4
S54,63.8,51.7,71.9,4.8,7.1,7.9
S55,60.1,61.6,65.4,3.3,5.2,6.1
S56,64.3,61.9,73.0,3.1,6.7,5.2
S57,69.5,66.5,69.3,4.2,7.1,8.3
S58,95.0,82.6,80.4,5.7,7.8,11.3
S59,63.0,49.7,76.6,2.9,7.7,5.5
S60,84.7,80.3,88.4,5.4,8.6,11.7
S61,49.7,58.1,56.9,1.7,7.0,4.1
S62,65.0,56.6,71.6,3.0,5.9,7.4
S63,68.4,74.1,60.0,3.3,5.4,8.6
S64,73.2,72.8,73.0,3.6,6.9,8.4
S65,77.3,75.5,69.5,4.4,6.0,10.0
S66,79.6,71.5,75.1,4.9,6.4,8.9
S67,74.7,62.5,68.7,3.3,6.7,6.8
S68,71.7,69.4,69.3,4.5,6.5,8.7
S69,79.0,80.4,85.0,6.0,7.9,8.5
S70,66.9,74.6,64.2,3.1,7.5,4.7
S71,48.5,59.9,48.4,2.3,7.4,7.4
S72,52.0,57.7,57.8,2.1,6.8,8.8
S73,56.9,66.6,55.7,2.5,6.1,5.7
S74,79.8,75.7,77.6,4.9,7.5,6.7
S75,68.7,73.7,76.4,4.6,6.9,7.9
S76,79.2,74.1,84.8,4.8,8.1,9.0
S77,56.5,63.6,71.5,4.0,6.9,6.9
S78,73.2,66.3,77.6,3.6,7.2,7.0
S79,72.3,79.8,79.1,4.9,5.8,9.9
S80,61.8,58.7,62.2,5.1,5.7,8.0
